PARTICIPANT_ID	TEST_SECTION_ID	SENTENCE	USER_INPUT	KEYSTROKE_ID	PRESS_TIME	RELEASE_TIME	LETTER	KEYCODE
2	1	""	""	243	1778930578	1778930578	p	112
2	1	""	""	244	1778930578	1778930578	r	114
2	1	""	""	245	1778930578	1778930578	e	101
2	1	""	""	246	1778930579	1778930579	c	99
2	1	""	""	247	1778930579	1778930579	i	105
2	1	""	""	248	1778930579	1778930579	s	115
2	1	""	""	249	1778930579	1778930579	o	111
2	1	""	""	250	1778930579	1778930579	u	117
2	1	""	""	251	1778930579	1778930579	space	1047
2	1	""	""	252	1778930579	1778930579	d	100
2	1	""	""	253	1778930579	1778930579	e	101
2	1	""	""	254	1778930579	1778930579	l	108
2	1	""	""	255	1778930580	1778930580	e	101
2	1	""	""	256	1778930580	1778930580	,	44
2	1	""	""	257	1778930580	1778930580	space	1047
2	1	""	""	258	1778930581	1778930581	e	101
2	1	""	""	259	1778930581	1778930581	l	108
2	1	""	""	260	1778930581	1778930581	e	101
2	1	""	""	261	1778930581	1778930581	space	1047
2	1	""	""	262	1778930581	1778930581	d	100
2	1	""	""	263	1778930581	1778930581	e	101
2	1	""	""	264	1778930581	1778930581	s	115
2	1	""	""	265	1778930581	1778930581	a	97
2	1	""	""	266	1778930582	1778930582	p	112
2	1	""	""	267	1778930582	1778930582	a	97
2	1	""	""	268	1778930582	1778930582	r	114
2	1	""	""	269	1778930582	1778930582	e	101
2	1	""	""	270	1778930582	1778930582	c	99
2	1	""	""	271	1778930582	1778930582	e	101
2	1	""	""	272	1778930582	1778930582	u	117
2	1	""	""	273	1778930583	1778930584		46
2	1	""	""	274	1778930584	1778930584	enter	1014
2	1	""	""	275	1778930585	1778930585	1	49
2	1	""	""	276	1778930585	1778930585	0	48
2	1	""	""	277	1778930585	1778930585	0	48
2	1	""	""	278	1778930585	1778930585	space	1047
2	1	""	""	279	1778930585	1778930586	shift	1045
2	1	""	""	280	1778930585	1778930586	A	65
2	1	""	""	281	1778930586	1778930586	n	110
2	1	""	""	282	1778930586	1778930586	o	111
2	1	""	""	283	1778930586	1778930586	s	115
2	1	""	""	284	1778930586	1778930586	space	1047
2	1	""	""	285	1778930586	1778930586	p	112
2	1	""	""	286	1778930586	1778930586	a	97
2	1	""	""	287	1778930586	1778930586	s	115
2	1	""	""	288	1778930586	1778930587	s	115
2	1	""	""	289	1778930587	1778930587	a	97
2	1	""	""	290	1778930587	1778930587	r	114
2	1	""	""	291	1778930587	1778930587	a	97
2	1	""	""	292	1778930587	1778930587	m	109
2	1	""	""	293	1778930587	1778930587	space	1047
2	1	""	""	294	1778930587	1778930588	a	97
2	1	""	""	295	1778930588	1778930588	t	116
2	1	""	""	296	1778930588	1778930588	´	180
2	1	""	""	297	1778930588	1778930588	e	101
2	1	""	""	298	1778930588	1778930588	space	1047
2	1	""	""	299	1778930588	1778930588	q	113
2	1	""	""	300	1778930588	1778930588	u	117
2	1	""	""	301	1778930588	1778930588	e	101
2	1	""	""	302	1778930588	1778930588	space	1047
2	1	""	""	303	1778930589	1778930590	e	101
2	1	""	""	304	1778930590	1778930590	u	117
2	1	""	""	305	1778930590	1778930590	space	1047
2	1	""	""	306	1778930590	1778930590	e	101
2	1	""	""	307	1778930590	1778930590	space	1047
2	1	""	""	308	1778930590	1778930590	o	111
2	1	""	""	309	1778930590	1778930590	space	1047
2	1	""	""	310	1778930590	1778930590	m	109
2	1	""	""	311	1778930590	1778930590	e	101
2	1	""	""	312	1778930590	1778930591	u	117
2	1	""	""	313	1778930591	1778930591	space	1047
2	1	""	""	314	1778930591	1778930591	i	105
2	1	""	""	315	1778930591	1778930591	r	114
2	1	""	""	316	1778930591	1778930591	m	109
2	1	""	""	317	1778930591	1778930591	~	126
2	1	""	""	318	1778930591	1778930592	a	97
2	1	""	""	319	1778930592	1778930592	o	111
2	1	""	""	320	1778930592	1778930592	space	1047
2	1	""	""	321	1778930592	1778930592	d	100
2	1	""	""	322	1778930592	1778930592	e	101
2	1	""	""	323	1778930592	1778930592	s	115
2	1	""	""	324	1778930592	1778930592	c	99
2	1	""	""	325	1778930592	1778930592	o	111
2	1	""	""	326	1778930593	1778930593	b	98
2	1	""	""	327	1778930593	1778930593	r	114
2	1	""	""	328	1778930593	1778930593	i	105
2	1	""	""	329	1778930593	1778930593	m	109
2	1	""	""	330	1778930593	1778930593	o	111
2	1	""	""	331	1778930593	1778930593	s	115
2	1	""	""	332	1778930594	1778930594	space	1047
2	1	""	""	333	1778930594	1778930594	o	111
2	1	""	""	334	1778930594	1778930594	space	1047
2	1	""	""	335	1778930594	1778930594	n	110
2	1	""	""	336	1778930594	1778930594	o	111
2	1	""	""	337	1778930594	1778930594	v	118
2	1	""	""	338	1778930595	1778930595	o	111
2	1	""	""	339	1778930595	1778930595	space	1047
2	1	""	""	340	1778930595	1778930595	a	97
2	1	""	""	341	1778930595	1778930595	v	118
2	1	""	""	342	1778930595	1778930595	a	97
2	1	""	""	343	1778930595	1778930596	t	116
2	1	""	""	344	1778930596	1778930596	a	97
2	1	""	""	345	1778930596	1778930596	r	114
2	1	""	""	346	1778930596	1778930596	,	44
2	1	""	""	347	1778930596	1778930596	space	1047
2	1	""	""	348	1778930597	1778930597	u	117
2	1	""	""	349	1778930597	1778930597	m	109
2	1	""	""	350	1778930597	1778930597	space	1047
2	1	""	""	351	1778930597	1778930597	a	97
2	1	""	""	352	1778930597	1778930598	i	105
2	1	""	""	353	1778930598	1778930598	r	114
2	1	""	""	354	1778930598	1778930598	b	98
2	1	""	""	355	1778930598	1778930598	e	101
2	1	""	""	356	1778930598	1778930598	n	110
2	1	""	""	357	1778930598	1778930598	d	100
2	1	""	""	358	1778930598	1778930599	e	101
2	1	""	""	359	1778930599	1778930599	r	114
2	1	""	""	360	1778930599	1778930599	space	1047
2	1	""	""	361	1778930599	1778930599	c	99
2	1	""	""	362	1778930599	1778930599	h	104
2	1	""	""	363	1778930599	1778930599	a	97
2	1	""	""	364	1778930599	1778930599	m	109
2	1	""	""	365	1778930599	1778930599	a	97
2	1	""	""	366	1778930599	1778930600	d	100
2	1	""	""	367	1778930600	1778930600	o	111
2	1	""	""	368	1778930600	1778930600	space	1047
2	1	""	""	369	1778930600	1778930600	shift	1045
2	1	""	""	370	1778930600	1778930600	A	65
2	1	""	""	371	1778930600	1778930601	a	97
2	1	""	""	372	1778930601	1778930601	n	110
2	1	""	""	373	1778930601	1778930601	g	103
2	1	""	""	374	1778930602	1778930602		46
2	1	""	""	375	1778930603	1778930603	space	1047
2	1	""	""	376	1778930603	1778930604	shift	1045
2	1	""	""	377	1778930603	1778930603	A	65
2	1	""	""	378	1778930604	1778930604	p	112
2	1	""	""	379	1778930604	1778930604	e	101
2	1	""	""	380	1778930604	1778930604	s	115
2	1	""	""	381	1778930605	1778930605	a	97
2	1	""	""	382	1778930605	1778930605	r	114
2	1	""	""	383	1778930605	1778930605	space	1047
2	1	""	""	384	1778930605	1778930605	d	100
2	1	""	""	385	1778930605	1778930605	e	101
2	1	""	""	386	1778930605	1778930605	space	1047
2	1	""	""	387	1778930606	1778930606	t	116
2	1	""	""	388	1778930606	1778930606	o	111
2	1	""	""	389	1778930606	1778930606	d	100
2	1	""	""	390	1778930606	1778930606	o	111
2	1	""	""	391	1778930606	1778930606	space	1047
2	1	""	""	392	1778930606	1778930606	o	111
2	1	""	""	393	1778930606	1778930606	space	1047
2	1	""	""	394	1778930606	1778930606	s	115
2	1	""	""	395	1778930607	1778930607	e	101
2	1	""	""	396	1778930607	1778930607	u	117
2	1	""	""	397	1778930607	1778930607	space	1047
2	1	""	""	398	1778930607	1778930607	p	112
2	1	""	""	399	1778930607	1778930607	o	111
2	1	""	""	400	1778930607	1778930607	d	100
2	1	""	""	401	1778930607	1778930607	e	101
2	1	""	""	402	1778930608	1778930608	r	114
2	1	""	""	403	1778930608	1778930608	,	44
2	1	""	""	404	1778930608	1778930608	space	1047
2	1	""	""	405	1778930608	1778930608	e	101
2	1	""	""	406	1778930608	1778930608	l	108
2	1	""	""	407	1778930608	1778930609	e	101
2	1	""	""	408	1778930609	1778930609	space	1047
2	1	""	""	409	1778930609	1778930609	a	97
2	1	""	""	410	1778930609	1778930609	i	105
2	1	""	""	411	1778930609	1778930609	n	110
2	1	""	""	412	1778930609	1778930609	d	100
2	1	""	""	413	1778930609	1778930609	a	97
2	1	""	""	414	1778930609	1778930609	space	1047
2	1	""	""	415	1778930609	1778930609	t	116
2	1	""	""	416	1778930609	1778930609	e	101
2	1	""	""	417	1778930609	1778930610	m	109
2	1	""	""	418	1778930610	1778930610	o	111
2	1	""	""	419	1778930610	1778930610	space	1047
2	1	""	""	420	1778930610	1778930610	m	109
2	1	""	""	421	1778930610	1778930610	u	117
2	1	""	""	422	1778930610	1778930610	i	105
2	1	""	""	423	1778930611	1778930611	q	113
2	1	""	""	424	1778930611	1778930611	backspace	1004
2	1	""	""	425	1778930612	1778930612	t	116
2	1	""	""	426	1778930612	1778930612	o	111
2	1	""	""	427	1778930612	1778930612	space	1047
2	1	""	""	428	1778930612	1778930612	q	113
2	1	""	""	429	1778930612	1778930612	u	117
2	1	""	""	430	1778930612	1778930612	e	101
2	1	""	""	431	1778930612	1778930612	space	1047
2	1	""	""	432	1778930612	1778930612	a	97
2	1	""	""	433	1778930612	1778930612	p	112
2	1	""	""	434	1778930612	1778930613	r	114
2	1	""	""	435	1778930612	1778930613	e	101
2	1	""	""	436	1778930613	1778930613	n	110
2	1	""	""	437	1778930613	1778930613	d	100
2	1	""	""	438	1778930613	1778930613	e	101
2	1	""	""	439	1778930613	1778930613	r	114
2	1	""	""	440	1778930614	1778930614		46
2	1	""	""	441	1778930615	1778930615	space	1047
2	1	""	""	442	1778930615	1778930616	enter	1014
2	1	""	""	443	1778930616	1778930616	shift	1045
2	1	""	""	444	1778930616	1778930616	M	77
2	1	""	""	445	1778930616	1778930616	a	97
2	1	""	""	446	1778930616	1778930616	s	115
2	1	""	""	447	1778930616	1778930616	space	1047
2	1	""	""	448	1778930616	1778930616	e	101
2	1	""	""	449	1778930617	1778930617	u	117
2	1	""	""	450	1778930617	1778930617	space	1047
2	1	""	""	451	1778930617	1778930617	a	97
2	1	""	""	452	1778930617	1778930617	c	99
2	1	""	""	453	1778930617	1778930617	r	114
2	1	""	""	454	1778930617	1778930617	e	101
2	1	""	""	455	1778930617	1778930618	d	100
2	1	""	""	456	1778930618	1778930618	i	105
2	1	""	""	457	1778930618	1778930618	t	116
2	1	""	""	458	1778930618	1778930618	o	111
2	1	""	""	459	1778930618	1778930618	space	1047
2	1	""	""	460	1778930618	1778930618	q	113
2	1	""	""	461	1778930618	1778930618	u	117
2	1	""	""	462	1778930618	1778930618	e	101
2	1	""	""	463	1778930618	1778930618	space	1047
2	1	""	""	464	1778930618	1778930618	o	111
2	1	""	""	465	1778930619	1778930619	space	1047
2	1	""	""	466	1778930619	1778930619	shift	1045
2	1	""	""	467	1778930619	1778930619	A	65
2	1	""	""	468	1778930619	1778930619	A	65
2	1	""	""	469	1778930619	1778930619	backspace	1004
2	1	""	""	470	1778930620	1778930620	a	97
2	1	""	""	471	1778930620	1778930620	n	110
2	1	""	""	472	1778930620	1778930620	g	103
2	1	""	""	473	1778930620	1778930620	space	1047
2	1	""	""	474	1778930620	1778930621	v	118
2	1	""	""	475	1778930621	1778930621	a	97
2	1	""	""	476	1778930621	1778930621	i	105
2	1	""	""	477	1778930621	1778930621	space	1047
2	1	""	""	478	1778930621	1778930621	c	99
2	1	""	""	479	1778930621	1778930621	o	111
2	1	""	""	480	1778930622	1778930622	n	110
2	1	""	""	481	1778930622	1778930622	s	115
2	1	""	""	482	1778930622	1778930622	e	101
2	1	""	""	483	1778930622	1778930622	g	103
2	1	""	""	484	1778930622	1778930622	u	117
2	1	""	""	485	1778930622	1778930622	i	105
2	1	""	""	486	1778930622	1778930622	r	114
2	1	""	""	487	1778930622	1778930622	space	1047
2	1	""	""	488	1778930622	1778930623	s	115
2	1	""	""	489	1778930623	1778930623	a	97
2	1	""	""	490	1778930623	1778930623	l	108
2	1	""	""	491	1778930623	1778930623	v	118
2	1	""	""	492	1778930623	1778930623	a	97
2	1	""	""	493	1778930623	1778930623	r	114
2	1	""	""	494	1778930623	1778930623	space	1047
2	1	""	""	495	1778930623	1778930623	o	111
2	1	""	""	496	1778930623	1778930624	space	1047
2	1	""	""	497	1778930624	1778930624	m	109
2	1	""	""	498	1778930624	1778930624	u	117
2	1	""	""	499	1778930624	1778930624	n	110
2	1	""	""	500	1778930624	1778930624	d	100
2	1	""	""	501	1778930624	1778930624	o	111
2	1	""	""	502	1778930625	1778930625		46
