USER_ID,SESSION_ID,client timestamp,dt,dx,dy,distance,velocity,acceleration,angle,angle_change,curvature,is_idle,stroke_id,direction_bin,is_pressed,is_released,is_drag,is_overshoot,is_illeggal
1,7,33.11333203315735,0.001020669937133789,0.0,0.0,0.0,0.0,-1949413.5248791382,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.11432409286499,0.001,0.0,-1.0,1.0,1000.0,1000000.0,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.11530137062073,0.001,1.0,0.0,1.0,1000.0,0.0,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,33.11629128456116,0.001,0.0,-1.0,1.0,1000.0,0.0,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.11732316017151,0.0010318756103515625,0.0,0.0,0.0,0.0,-969109.057301294,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.11830735206604,0.001,0.0,-1.0,1.0,1000.0,1000000.0,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.119406938552856,0.0010995864868164062,0.0,-1.0,1.0,909.4327840416305,-82364.79535191957,-1.5707963267948966,0.0,0.0,0,0,2.0,0,0,0,0,0
1,7,33.12035894393921,0.001,0.0,0.0,0.0,0.0,-909432.7840416305,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.12134146690369,0.001,1.0,-1.0,1.4142135623730951,1414.213562373095,1414213.562373095,-0.7853981633974483,0.7853981633974483,0.5553599745709917,0,0,3.0,0,0,0,0,0
1,7,33.122331380844116,0.001,0.0,0.0,0.0,0.0,-1414213.562373095,0.0,0.7853981633974483,785398.1633974484,0,0,4.0,0,0,0,0,0
1,7,33.12336444854736,0.0010330677032470703,0.0,-1.0,1.0,967.9907685206555,937006.1279412091,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.12437200546265,0.0010075569152832031,1.0,0.0,1.0,992.4997633696166,24325.171588021098,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,33.12538981437683,0.0010178089141845703,0.0,0.0,0.0,0.0,-975133.6911455228,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.12631416320801,0.001,0.0,-1.0,1.0,1000.0,1000000.0,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.1272988319397,0.001,0.0,-1.0,1.0,1000.0,0.0,-1.5707963267948966,0.0,0.0,0,0,2.0,0,0,0,0,0
1,7,33.12934231758118,0.002043485641479492,0.0,0.0,0.0,0.0,-489359.9346633998,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.13133382797241,0.0019915103912353516,0.0,-1.0,1.0,502.13144977852266,252135.99285668103,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.13230586051941,0.001,0.0,0.0,0.0,0.0,-502131.44977852266,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.13639044761658,0.004084587097167969,0.0,-1.0,1.0,244.82278776558488,59938.19740931261,-1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,2.0,0,0,0,0,0
1,7,33.1393461227417,0.0029556751251220703,0.0,1.0,1.0,338.3321771396306,31637.235289918317,1.5707963267948966,3.141592653589793,3.1415895120002815,0,0,6.0,0,0,0,0,0
1,7,33.28743505477905,0.14808893203735352,0.0,0.0,0.0,0.0,-2284.655392438718,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.292421102523804,0.0049860477447509766,1.0,0.0,1.0,200.5596518911682,40224.17396670656,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.29437708854675,0.0019559860229492188,0.0,0.0,0.0,0.0,-102536.34204848054,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.296345949172974,0.001968860626220703,1.0,0.0,1.0,507.9079680310002,257970.50398937956,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.299492835998535,0.0031468868255615234,0.0,0.0,0.0,0.0,-161400.13803654036,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.30136823654175,0.0018754005432128906,1.0,0.0,1.0,533.2194253750317,284322.95559727907,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.30342411994934,0.0020558834075927734,0.0,0.0,0.0,0.0,-259362.6775748808,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.304375410079956,0.001,1.0,0.0,1.0,1000.0,1000000.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.306363582611084,0.0019881725311279297,0.0,0.0,0.0,0.0,-502974.45736898907,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.30740213394165,0.0010385513305664062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.30937099456787,0.001968860626220703,1.0,0.0,1.0,507.9079680310002,257970.50398937956,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.310373306274414,0.0010023117065429688,0.0,0.0,0.0,0.0,-506736.54185164045,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.31239414215088,0.0020208358764648438,0.0,1.0,1.0,494.8447380840019,244871.31480942442,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.31338596343994,0.001,1.0,0.0,1.0,1000.0,505155.26191599807,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,33.315367698669434,0.0019817352294921875,0.0,0.0,0.0,0.0,-504608.2771896054,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.319432497024536,0.004064798355102539,1.0,1.0,1.4142135623730951,347.91727382929923,85592.75108753153,0.7853981633974483,0.7853981633974483,0.5553599745709917,0,0,5.0,0,0,0,0,0
1,7,33.32138442993164,0.0019519329071044922,0.0,1.0,1.0,512.3126908513497,84221.85845819642,1.5707963267948966,0.7853981633974483,0.7853973780000704,0,0,6.0,0,0,0,0,0
1,7,33.32341766357422,0.002033233642578125,1.0,0.0,1.0,491.82739212007505,-10075.231051803474,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,33.32647466659546,0.0030570030212402344,0.0,0.0,0.0,0.0,-160885.4779347059,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.32944583892822,0.002971172332763672,0.0,1.0,1.0,336.5674851548708,113277.67206347417,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.33136796951294,0.0019221305847167969,1.0,0.0,1.0,520.2560158769536,95565.0631557622,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,33.33236575126648,0.001,0.0,0.0,0.0,0.0,-520256.0158769536,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.333335161209106,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.3383731842041,0.005038022994995117,1.0,1.0,1.4142135623730951,280.7080403916389,55717.89582352055,0.7853981633974483,0.7853981633974483,0.5553599745709917,0,0,5.0,0,0,0,0,0
1,7,33.34340190887451,0.005028724670410156,0.0,0.0,0.0,0.0,-55820.92056925909,0.0,0.7853981633974483,785398.1633974484,0,0,4.0,0,0,0,0,0
1,7,33.34642052650452,0.003018617630004883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.351481199264526,0.005060672760009766,0.0,1.0,1.0,197.60218599830398,39046.62391130832,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.35340213775635,0.001920938491821289,1.0,1.0,1.4142135623730951,736.2097060339732,280387.69712246343,0.7853981633974483,0.7853981633974483,0.5553599745709917,0,0,5.0,0,0,0,0,0
1,7,33.36239695549011,0.008994817733764648,0.0,0.0,0.0,0.0,-81848.20724831337,0.0,0.7853981633974483,785398.1633974484,0,0,4.0,0,0,0,0,0
1,7,33.36536931991577,0.0029723644256591797,0.0,1.0,1.0,336.43250180476457,113186.82827061292,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.36741232872009,0.002043008804321289,1.0,0.0,1.0,489.47415100945267,74909.93131355119,0.0,1.5707963267948966,1.5707947560001407,0,0,4.0,0,0,0,0,0
1,7,33.369349002838135,0.0019366741180419922,0.0,0.0,0.0,0.0,-252739.55305620478,0.0,0.0,0.0,0,0,4.0,0,0,0,0,0
1,7,33.37535333633423,0.00600433349609375,0.0,1.0,1.0,166.5463786531131,27737.696242466125,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.378382444381714,0.0030291080474853516,0.0,0.0,0.0,0.0,-54981.98679026107,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.384355783462524,0.005973339080810547,0.0,1.0,1.0,167.41055320507704,28026.293324429927,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.38535475730896,0.001,0.0,1.0,1.0,1000.0,832589.4467949229,1.5707963267948966,0.0,0.0,0,0,6.0,0,0,0,0,0
1,7,33.39243507385254,0.0070803165435791016,0.0,0.0,0.0,0.0,-141236.6232279355,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
1,7,33.393359899520874,0.001,0.0,1.0,1.0,1000.0,1000000.0,1.5707963267948966,1.5707963267948966,1.5707947560001407,0,0,6.0,0,0,0,0,0
1,7,33.39637732505798,0.003017425537109375,0.0,0.0,0.0,0.0,-331408.34386852087,0.0,1.5707963267948966,1570796.3267948967,0,0,4.0,0,0,0,0,0
