PARTICIPANT_ID,TEST_SECTION_ID,PRESS_TIME,RELEASE_TIME,DWELL_TIME,FLIGHT_TIME,OVERLAP_TIME,DIGRAPH_LATENCY,TRIGRAPH_LATENCY,IS_CORRECTION,IS_NAVIGATION,CTRL_BACKSPACE_PATTERN,ROLLING_WPM,RHYTHM_VARIANCE
2,1,1778930540,1778930540,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930540,1778930540,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930540,1778930540,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930540,1778930540,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930540,1778930540,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930540,1778930540,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930541,1778930541,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930541,1778930541,0,0.0,0.0,0.0,1.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930542,1778930542,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.4216370213557839
2,1,1778930543,1778930543,0,1.0,0.0,1.0,2.0,0,0,0,50000.0,0.48304589153964794
2,1,1778930543,1778930543,0,0.0,0.0,0.0,1.0,0,0,0,50000.0,0.48304589153964794
2,1,1778930543,1778930543,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.48304589153964794
2,1,1778930543,1778930543,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.48304589153964794
2,1,1778930543,1778930543,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.48304589153964794
2,1,1778930543,1778930543,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.48304589153964794
2,1,1778930543,1778930543,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.48304589153964794
2,1,1778930543,1778930544,1,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.42163702135578396
2,1,1778930544,1778930544,0,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.42163702135578396
2,1,1778930544,1778930544,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.316227766016838
2,1,1778930544,1778930544,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930544,1778930544,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930544,1778930544,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930544,1778930544,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930545,1778930545,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930545,1778930545,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930545,1778930545,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930545,1778930545,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930545,1778930545,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930545,1778930545,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930559,1778930559,0,14.0,0.0,14.0,14.0,1,0,0,15789.473684210527,4.403281604540969
2,1,1778930560,1778930560,0,1.0,0.0,1.0,15.0,0,0,0,15000.0,4.376706016578627
2,1,1778930560,1778930560,0,0.0,0.0,0.0,1.0,0,0,0,15789.473684210527,4.376706016578627
2,1,1778930560,1778930560,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,4.376706016578627
2,1,1778930561,1778930561,0,1.0,0.0,1.0,1.0,0,0,0,15789.473684210527,4.376706016578627
2,1,1778930561,1778930561,0,0.0,0.0,0.0,1.0,0,0,0,16666.666666666668,4.376706016578627
2,1,1778930561,1778930561,0,0.0,0.0,0.0,0.0,0,0,0,16666.666666666668,4.376706016578627
2,1,1778930562,1778930562,0,1.0,0.0,1.0,1.0,0,0,0,15789.473684210527,4.347413023856832
2,1,1778930562,1778930562,0,0.0,0.0,0.0,1.0,0,0,0,15789.473684210527,4.347413023856832
2,1,1778930562,1778930562,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,4.347413023856832
2,1,1778930562,1778930562,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4830458915396512
2,1,1778930562,1778930562,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930562,1778930562,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930563,1778930563,0,1.0,0.0,1.0,1.0,0,0,0,15789.473684210527,0.4830458915396512
2,1,1778930563,1778930563,0,0.0,0.0,0.0,1.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930563,1778930563,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930563,1778930563,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930564,1778930564,0,1.0,0.0,1.0,1.0,0,0,0,15000.0,0.4216370213557877
2,1,1778930564,1778930564,0,0.0,0.0,0.0,1.0,0,0,0,15000.0,0.4216370213557877
2,1,1778930564,1778930564,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930564,1778930564,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930564,1778930564,0,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930564,1778930565,1,0.0,0.0,0.0,0.0,0,0,0,15789.473684210527,0.4216370213557877
2,1,1778930565,1778930565,0,0.0,0.0,1.0,1.0,0,0,0,15000.0,0.31622776601684305
2,1,1778930565,1778930565,0,0.0,0.0,0.0,1.0,0,0,0,15000.0,0.31622776601684305
2,1,1778930565,1778930565,0,0.0,0.0,0.0,0.0,0,0,0,50000.0,0.31622776601684305
2,1,1778930565,1778930565,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.31622776601684305
2,1,1778930565,1778930565,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930565,1778930565,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930565,1778930565,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930566,1778930566,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930566,1778930566,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930566,1778930566,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930566,1778930566,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930566,1778930566,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930566,1778930567,1,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930567,1778930567,0,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930567,1778930567,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930567,1778930568,1,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930568,1778930568,0,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930568,1778930568,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.0
2,1,1778930568,1778930568,0,0.0,0.0,0.0,0.0,0,0,0,60000.0,0.0
2,1,1778930568,1778930568,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930568,1778930568,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930568,1778930568,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930568,1778930568,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.0
2,1,1778930569,1778930569,0,1.0,0.0,1.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930569,1778930569,0,0.0,0.0,0.0,1.0,0,0,0,60000.0,0.31622776601683794
2,1,1778930569,1778930569,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930569,1778930569,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930569,1778930569,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930569,1778930569,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930569,1778930570,1,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
2,1,1778930569,1778930570,1,-1.0,1.0,0.0,0.0,0,0,0,75000.0,0.4714045207910317
2,1,1778930570,1778930570,0,0.0,0.0,1.0,1.0,0,0,0,60000.0,0.4714045207910317
2,1,1778930570,1778930570,0,0.0,0.0,0.0,1.0,0,0,0,75000.0,0.4714045207910317
2,1,1778930570,1778930570,0,0.0,0.0,0.0,0.0,0,0,0,75000.0,0.31622776601683794
